p1,p2,g,alg,alarm,t,l,false_alarm,delay
0.01,0.02,1,random,logistic_topr,39,1,0,38
0.01,0.02,1,random,logistic_topr,34,1,0,33
0.01,0.02,1,random,logistic_topr,36,1,0,35
0.01,0.02,1,random,logistic_topr,39,4,0,38
0.01,0.02,1,random,logistic_topr,15,1,0,14
0.01,0.02,1,random,logistic_topr,43,1,0,42
0.01,0.02,1,random,logistic_topr,16,2,0,15
0.01,0.02,1,random,logistic_topr,24,5,0,23
0.01,0.02,1,random,logistic_topr,9,5,0,8
0.01,0.02,1,random,logistic_topr,29,2,0,28
0.01,0.02,1,random,logistic_topr,47,1,0,46
0.01,0.02,1,random,logistic_topr,53,3,0,52
0.01,0.02,1,random,logistic_topr,42,3,0,41
0.01,0.02,1,random,logistic_topr,45,1,0,44
0.01,0.02,1,random,logistic_topr,40,1,0,39
0.01,0.02,1,random,logistic_topr,37,5,0,36
0.01,0.02,1,random,logistic_topr,24,1,0,23
0.01,0.02,1,random,logistic_topr,40,1,0,39
0.01,0.02,1,random,logistic_topr,12,2,0,11
0.01,0.02,1,random,logistic_topr,18,1,0,17
0.01,0.02,1,random,logistic_topr,15,1,0,14
0.01,0.02,1,random,logistic_topr,59,1,0,58
0.01,0.02,1,random,logistic_topr,26,1,0,25
0.01,0.02,1,random,logistic_topr,26,1,0,25
0.01,0.02,1,random,logistic_topr,24,5,0,23
0.01,0.02,1,random,logistic_topr,58,1,0,57
0.01,0.02,1,random,logistic_topr,44,4,0,43
0.01,0.02,1,random,logistic_topr,38,1,0,37
0.01,0.02,1,random,logistic_topr,23,4,0,22
0.01,0.02,1,random,logistic_topr,85,5,0,84
0.01,0.02,1,random,logistic_topr,12,2,0,11
0.01,0.02,1,random,logistic_topr,72,1,0,71
0.01,0.02,1,random,logistic_topr,57,1,0,56
0.01,0.02,1,random,logistic_topr,29,1,0,28
0.01,0.02,1,random,logistic_topr,46,2,0,45
0.01,0.02,1,random,logistic_topr,55,1,0,54
0.01,0.02,1,random,logistic_topr,39,1,0,38
0.01,0.02,1,random,logistic_topr,68,1,0,67
0.01,0.02,1,random,logistic_topr,30,3,0,29
0.01,0.02,1,random,logistic_topr,31,4,0,30
0.01,0.02,1,random,logistic_topr,29,3,0,28
0.01,0.02,1,random,logistic_topr,33,4,0,32
0.01,0.02,1,random,logistic_topr,16,1,0,15
0.01,0.02,1,random,logistic_topr,11,2,0,10
0.01,0.02,1,random,logistic_topr,21,3,0,20
0.01,0.02,1,random,logistic_topr,66,1,0,65
0.01,0.02,1,random,logistic_topr,9,5,0,8
0.01,0.02,1,random,logistic_topr,75,1,0,74
0.01,0.02,1,random,logistic_topr,45,3,0,44
0.01,0.02,1,random,logistic_topr,41,5,0,40
0.01,0.02,1,random,logistic_topr,38,1,0,37
0.01,0.02,1,random,logistic_topr,24,2,0,23
0.01,0.02,1,random,logistic_topr,47,5,0,46
0.01,0.02,1,random,logistic_topr,58,3,0,57
0.01,0.02,1,random,logistic_topr,32,1,0,31
0.01,0.02,1,random,logistic_topr,5,3,0,4
0.01,0.02,1,random,logistic_topr,65,3,0,64
0.01,0.02,1,random,logistic_topr,40,5,0,39
0.01,0.02,1,random,logistic_topr,59,1,0,58
0.01,0.02,1,random,logistic_topr,37,3,0,36
0.01,0.02,1,random,logistic_topr,20,4,0,19
0.01,0.02,1,random,logistic_topr,58,1,0,57
0.01,0.02,1,random,logistic_topr,21,5,0,20
0.01,0.02,1,random,logistic_topr,23,1,0,22
0.01,0.02,1,random,logistic_topr,22,4,0,21
0.01,0.02,1,random,logistic_topr,5,3,0,4
0.01,0.02,1,random,logistic_topr,7,4,0,6
