p1,p2,g,alg,alarm,t,l,false_alarm,delay
0.01,0.02,1,thompson,logistic_topr,17,4,0,16
0.01,0.02,1,thompson,logistic_topr,5,3,0,4
0.01,0.02,1,thompson,logistic_topr,28,3,0,27
0.01,0.02,1,thompson,logistic_topr,41,2,0,40
0.01,0.02,1,thompson,logistic_topr,138,2,0,137
0.01,0.02,1,thompson,logistic_topr,12,4,0,11
0.01,0.02,1,thompson,logistic_topr,39,3,0,38
0.01,0.02,1,thompson,logistic_topr,24,1,0,23
0.01,0.02,1,thompson,logistic_topr,43,2,0,42
0.01,0.02,1,thompson,logistic_topr,29,1,0,28
0.01,0.02,1,thompson,logistic_topr,49,1,0,48
0.01,0.02,1,thompson,logistic_topr,20,2,0,19
0.01,0.02,1,thompson,logistic_topr,59,2,0,58
0.01,0.02,1,thompson,logistic_topr,5,3,0,4
0.01,0.02,1,thompson,logistic_topr,36,2,0,35
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,13,1,0,12
0.01,0.02,1,thompson,logistic_topr,24,1,0,23
0.01,0.02,1,thompson,logistic_topr,71,2,0,70
0.01,0.02,1,thompson,logistic_topr,19,3,0,18
0.01,0.02,1,thompson,logistic_topr,27,2,0,26
0.01,0.02,1,thompson,logistic_topr,87,1,0,86
0.01,0.02,1,thompson,logistic_topr,13,1,0,12
0.01,0.02,1,thompson,logistic_topr,172,1,0,171
0.01,0.02,1,thompson,logistic_topr,40,2,0,39
0.01,0.02,1,thompson,logistic_topr,15,1,0,14
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,33,5,0,32
0.01,0.02,1,thompson,logistic_topr,27,1,0,26
0.01,0.02,1,thompson,logistic_topr,69,1,0,68
0.01,0.02,1,thompson,logistic_topr,41,2,0,40
0.01,0.02,1,thompson,logistic_topr,58,1,0,57
0.01,0.02,1,thompson,logistic_topr,59,1,0,58
0.01,0.02,1,thompson,logistic_topr,128,1,0,127
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,23,3,0,22
0.01,0.02,1,thompson,logistic_topr,16,1,0,15
0.01,0.02,1,thompson,logistic_topr,39,1,0,38
0.01,0.02,1,thompson,logistic_topr,95,1,0,94
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,46,2,0,45
0.01,0.02,1,thompson,logistic_topr,78,2,0,77
0.01,0.02,1,thompson,logistic_topr,72,1,0,71
0.01,0.02,1,thompson,logistic_topr,28,2,0,27
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,45,1,0,44
0.01,0.02,1,thompson,logistic_topr,18,3,0,17
0.01,0.02,1,thompson,logistic_topr,15,2,0,14
0.01,0.02,1,thompson,logistic_topr,34,5,0,33
0.01,0.02,1,thompson,logistic_topr,87,1,0,86
0.01,0.02,1,thompson,logistic_topr,29,2,0,28
0.01,0.02,1,thompson,logistic_topr,20,1,0,19
0.01,0.02,1,thompson,logistic_topr,5,3,0,4
0.01,0.02,1,thompson,logistic_topr,44,2,0,43
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,23,2,0,22
0.01,0.02,1,thompson,logistic_topr,29,4,0,28
