p1,p2,g,alg,alarm,t,l,false_alarm,delay
0.02,0.01,50,evsi_clairvoyant,logistic_topr,48,4,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,60,4,0,10
0.02,0.01,50,evsi_clairvoyant,logistic_topr,78,1,0,28
0.02,0.01,50,evsi_clairvoyant,logistic_topr,27,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,34,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,68,1,0,18
0.02,0.01,50,evsi_clairvoyant,logistic_topr,51,1,0,1
0.02,0.01,50,evsi_clairvoyant,logistic_topr,29,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,21,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,82,4,0,32
0.02,0.01,50,evsi_clairvoyant,logistic_topr,14,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,37,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,58,1,0,8
0.02,0.01,50,evsi_clairvoyant,logistic_topr,36,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,25,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,43,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,25,4,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,33,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,27,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,28,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,73,1,0,23
0.02,0.01,50,evsi_clairvoyant,logistic_topr,56,1,0,6
0.02,0.01,50,evsi_clairvoyant,logistic_topr,62,2,0,12
0.02,0.01,50,evsi_clairvoyant,logistic_topr,65,4,0,15
0.02,0.01,50,evsi_clairvoyant,logistic_topr,16,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,53,1,0,3
0.02,0.01,50,evsi_clairvoyant,logistic_topr,48,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,16,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,29,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,63,5,0,13
0.02,0.01,50,evsi_clairvoyant,logistic_topr,43,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,69,1,0,19
0.02,0.01,50,evsi_clairvoyant,logistic_topr,37,4,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,79,1,0,29
0.02,0.01,50,evsi_clairvoyant,logistic_topr,63,1,0,13
0.02,0.01,50,evsi_clairvoyant,logistic_topr,19,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,87,1,0,37
0.02,0.01,50,evsi_clairvoyant,logistic_topr,35,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,44,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,65,4,0,15
0.02,0.01,50,evsi_clairvoyant,logistic_topr,50,1,0,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,95,1,0,45
0.02,0.01,50,evsi_clairvoyant,logistic_topr,78,1,0,28
0.02,0.01,50,evsi_clairvoyant,logistic_topr,17,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,87,1,0,37
0.02,0.01,50,evsi_clairvoyant,logistic_topr,26,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,22,4,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,69,1,0,19
0.02,0.01,50,evsi_clairvoyant,logistic_topr,32,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,58,4,0,8
0.02,0.01,50,evsi_clairvoyant,logistic_topr,77,1,0,27
0.02,0.01,50,evsi_clairvoyant,logistic_topr,16,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,25,4,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,87,1,0,37
0.02,0.01,50,evsi_clairvoyant,logistic_topr,24,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,64,4,0,14
0.02,0.01,50,evsi_clairvoyant,logistic_topr,46,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,13,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,17,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,47,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,13,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,64,1,0,14
0.02,0.01,50,evsi_clairvoyant,logistic_topr,22,4,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,35,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,44,4,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,55,5,0,5
0.02,0.01,50,evsi_clairvoyant,logistic_topr,33,2,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,31,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,31,5,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,26,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,142,1,0,92
0.02,0.01,50,evsi_clairvoyant,logistic_topr,37,3,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,85,1,0,35
0.02,0.01,50,evsi_clairvoyant,logistic_topr,81,5,0,31
0.02,0.01,50,evsi_clairvoyant,logistic_topr,29,1,1,0
0.02,0.01,50,evsi_clairvoyant,logistic_topr,60,3,0,10
0.02,0.01,50,evsi_clairvoyant,logistic_topr,67,1,0,17
